City,Cloudiness,Country_code,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Katsuura,40,JP,1554393600,70,33.93,134.5,8.0,2.1
Belyy Yar,0,RU,1554395400,40,53.6,91.39,1.0,1.0
Fort Nelson,90,CA,1554393600,78,58.81,-122.69,-12.0,3.1
Candolim,40,IN,1554393600,74,15.52,73.76,28.0,2.1
Oussouye,0,SN,1554393600,54,12.49,-16.54,27.0,4.1
Rybachiy,75,RU,1554395400,68,48.71,44.74,3.0,6.0
Luwuk,24,ID,1554397636,100,-0.95,122.79,25.11,0.77
Bojnurd,0,IR,1554397200,81,37.47,57.33,11.0,2.1
Dingle,0,PH,1554397636,74,11.0,122.67,24.86,3.27
Mount Gambier,36,AU,1554393600,42,-37.83,140.78,20.0,5.1
Chuy,32,UY,1554397637,85,-33.69,-53.46,27.46,2.82
Severobaykalsk,68,RU,1554397637,83,55.65,109.32,-9.74,0.77
Holme,75,GB,1554397636,87,53.7,-2.31,9.44,8.2
Gigmoto,92,PH,1554397638,100,13.78,124.39,23.46,2.52
Floro,0,NO,1554397206,58,61.6,5.03,13.0,2.1
Hamilton,75,CA,1554397336,37,43.26,-79.87,5.56,2.1
Springbok,20,ZA,1554397639,63,-29.67,17.88,16.31,5.57
Tarbagatay,64,RU,1554395400,62,51.48,107.36,-5.0,1.0
Kushiro,0,JP,1554397639,67,43.11,144.15,-9.34,1.07
Koumac,0,NC,1554397640,98,-20.56,164.28,22.61,3.22
Prince Rupert,90,CA,1554397140,70,54.32,-130.32,8.0,5.7
Wanlaweyn,0,SO,1554397640,66,2.62,44.89,28.26,5.67
Port Blair,0,IN,1554397640,100,11.67,92.75,29.01,0.87
